,id,market_cap_usd
27,ardor,545431746.0
28,bitshares,477154741.0
29,bytecoin-bcn,418250537.0
30,ark,416343052.0
31,nxt,395859721.0
32,vertcoin,368766943.0
33,augur,362217900.0
34,decred,335508004.0
35,steem,335447755.0
36,qash,333761750.0
37,komodo,316840437.0
38,einsteinium,314678033.0
39,salt,309601337.0
40,veritaseum,293207270.0
41,dogecoin,291381251.0
42,siacoin,286625310.0
43,golem-network-tokens,284913605.0
44,maidsafecoin,283377459.0
45,pivx,272915025.0
46,tenx,264436219.0
47,binance-coin,243443742.0
48,status,242604169.0
49,power-ledger,233054177.0
50,walton,219556117.0
51,factom,214865407.0
52,digixdao,212642000.0
53,syscoin,207670351.0
54,basic-attention-token,196173000.0
55,santiment,195558680.0
56,exchange-union,186157168.0
57,bitcoindark,182367555.0
58,kyber-network,177107472.0
59,byteball,176306281.0
60,cryptonex,174590449.0
61,zcoin,172498713.0
62,bytom,170404563.0
63,vechain,166675353.0
64,gas,165337325.0
65,iconomi,154307660.0
66,pura,149006967.0
67,tron,148853908.0
68,digibyte,142196816.0
69,gnosis-gno,141235087.0
70,raiden-network-token,139995268.0
71,gamecredits,134581199.0
72,aeternity,133369500.0
73,monaco,128197347.0
74,funfair,128046142.0
75,civic,124200306.0
76,blocknet,116844240.0
77,nav-coin,113842716.0
78,metal,113436381.0
79,0x,112709000.0
80,minexcoin,112591500.0
81,streamr-datacoin,112114441.0
82,ethos,110553572.0
83,bancor,109290864.0
84,verge,107929559.0
85,chainlink,105619850.0
86,edgeless,103099366.0
87,gxshares,101888727.0
88,storj,101512007.0
