id,percent_change_24h,percent_change_7d
flappycoin,-95.85,-96.61
credence-coin,-94.22,-95.31
coupecoin,-93.93,-61.24
tyrocoin,-79.02,-87.43
petrodollar,-76.55,542.96
bitok,-74.37,-71.67
bankcoin,-68.56,50.14
tellurion,-63.75,-52.59
shadow-token,-61.4,-59.05
eusd,-58.89,-25.5
kibicoin,-57.51,-15.32
abjcoin,-54.1,-17.73
landcoin,-52.11,-73.62
litecred,-51.73,243.9
ebtc,-51.13,-0.32
universal-currency,-48.96,-42.53
leviarcoin,-47.57,-71.7
runners,-46.85,-62.83
animecoin,-46.85,-22.07
ccminer,-45.83,-18.02
yellow-token,-45.39,65.95
primulon,-41.36,-57.31
mooncoin,-41.32,-32.67
dix-asset,-41.05,47.57
bitcurrency,-40.9,312.36
electra,-40.59,-81.29
litebitcoin,-39.85,474.8
janus,-37.62,60.17
bitcoincashscrypt,-37.39,-27.69
cagecoin,-36.26,-92.68
dashs,-36.05,96.8
jetcoin,-36.03,-80.66
crystal-clear,-36.01,30.55
htmlcoin,-35.51,1.07
frazcoin,-35.36,86.45
techshares,-35.09,-48.93
btcmoon,-34.7,582.11
socialcoin-socc,-34.27,-35.1
glasscoin,-33.31,51.12
embercoin,-32.97,-21.21
bitbase,-32.81,0.16
joulecoin,-32.6,75.71
truckcoin,-31.89,-37.46
paycon,-31.74,-29.14
corethum,-31.31,57.8
sacoin,-31.26,-49.24
sisa,-31.05,-37.47
torcoin-tor,-30.88,-39.45
wild-crypto,-30.6,0.22
yocoin,-30.47,-9.71
encryptotel,-30.02,4.17
bitcoin-red,-29.87,693.37
voyacoin,-29.69,90.14
royal-kingdom-coin,-29.21,-39.42
regacoin,-29.13,-29.51
cubits,-28.76,-27.56
network-token,-28.49,-16.68
opus,-28.27,-30.67
ethbits,-27.79,-28.11
catcoin,-27.72,119.5
goodomy,-27.44,13.0
autonio,-27.34,-39.48
monkey-project,-26.92,-56.88
megacoin,-26.51,-16.2
teslacoin,-26.1,19.42
phantomx,-25.71,-31.83
zeitcoin,-24.9,-70.27
zengold,-24.65,-41.03
popularcoin,-24.49,-0.77
elixir,-24.37,102.67
marijuanacoin,-24.26,62.58
vulcano,-23.87,-21.16
cryptoping,-23.51,62.19
swaptoken,-23.46,45.59
