id,percent_change_24h,percent_change_7d
royalties,-9.06,-99.59
flappycoin,-95.85,-96.61
credence-coin,-94.22,-95.31
cagecoin,-36.26,-92.68
tyrocoin,-79.02,-87.43
electra,-40.59,-81.29
jetcoin,-36.03,-80.66
everus,-21.99,-76.86
ether-for-the-rest-of-the-world,-3.05,-75.03
landcoin,-52.11,-73.62
leviarcoin,-47.57,-71.7
bitok,-74.37,-71.67
falcoin,0.99,-71.64
minex,28.21,-70.39
zeitcoin,-24.9,-70.27
ecocoin,-10.16,-66.91
ulatech,29.06,-64.39
runners,-46.85,-62.83
futurexe,114.71,-62.62
b3coin,17.28,-62.41
piggycoin,-2.96,-62.11
coupecoin,-93.93,-61.24
mywish,-4.13,-60.0
hyper-tv,36.07,-59.64
shadow-token,-61.4,-59.05
egold,-3.33,-57.35
primulon,-41.36,-57.31
monkey-project,-26.92,-56.88
putincoin,-5.12,-55.35
allsafe,-1.56,-54.99
healthywormcoin,-1.12,-54.48
tellurion,-63.75,-52.59
plexcoin,-12.23,-52.4
aerium,98.25,-52.0
808coin,27.29,-51.14
mercury-protocol,-21.8,-50.14
sacoin,-31.26,-49.24
techshares,-35.09,-48.93
environ,-0.02,-47.88
bunnycoin,-19.69,-47.88
macron,-10.59,-47.77
kilocoin,-3.37,-47.03
publica,-4.99,-46.22
clubcoin,-21.09,-45.88
natcoin,40.78,-45.61
t-coin,-1.19,-44.79
cash-poker-pro,-3.33,-44.7
gameunits,-0.53,-44.35
bitcore,-21.11,-44.18
centurion,13.81,-43.58
gbcgoldcoin,13.78,-43.3
pinkdog,3.71,-42.7
sprouts,-2.5,-42.66
universal-currency,-48.96,-42.53
infinitecoin,-10.06,-42.44
goldunioncoin,20.29,-42.37
birds,10.62,-42.1
musiconomi,-6.88,-41.52
bitcoin2x,56.64,-41.11
zengold,-24.65,-41.03
agrello-delta,-20.49,-40.85
digital-developers-fund,-20.99,-40.21
autonio,-27.34,-39.48
torcoin-tor,-30.88,-39.45
royal-kingdom-coin,-29.21,-39.42
ambercoin,-5.72,-38.95
open-trading-network,-16.2,-38.72
gimli,38.1,-37.92
xde-ii,6.85,-37.69
digital-rupees,6.27,-37.65
macro1,6.3,-37.57
sisa,-31.05,-37.47
truckcoin,-31.89,-37.46
mincoin,-9.85,-37.37
infinity-pay,-3.33,-36.77
billarycoin,7.85,-35.84
ties-network,-0.5,-35.53
socialcoin-socc,-34.27,-35.1
internet-of-things,-10.0,-34.55
crypto,3.58,-34.47
tracto,-8.2,-34.29
sugar-exchange,6.7,-34.09
reecoin,-0.56,-32.91
flixxo,-9.58,-32.76
swapcoin,6.23,-32.69
mooncoin,-41.32,-32.67
upfiring,-5.45,-32.44
infinity-economics,9.23,-32.44
russiacoin,-8.89,-32.28
phantomx,-25.71,-31.83
chips,-1.54,-31.8
metaverse,-9.86,-31.57
qash,-0.07,-31.5
b2bx,0.45,-31.37
nolimitcoin,-6.69,-31.0
opus,-28.27,-30.67
bitcoin-diamond,-20.41,-30.47
bitdeal,-3.85,-30.43
blockmason,-12.47,-30.06
raiden-network-token,-14.16,-29.9
halloween-coin,6.27,-29.79
bt2-cst,-21.61,-29.77
qvolta,5.7,-29.7
1337coin,4.12,-29.59
regacoin,-29.13,-29.51
roofs,-0.18,-29.5
ereal,11.45,-29.25
anryze,7.34,-29.16
paycon,-31.74,-29.14
espers,-9.17,-29.09
remicoin,33.23,-28.35
tokencard,7.27,-28.35
zayedcoin,-12.85,-28.14
ethbits,-27.79,-28.11
obsidian,-14.04,-27.99
tristar-coin,-0.42,-27.99
shellcoin,0.73,-27.84
neverdie,-8.33,-27.82
qubitcoin,7.19,-27.73
bitcoincashscrypt,-37.39,-27.69
goldreserve,9.53,-27.62
etherdoge,-8.38,-27.59
cubits,-28.76,-27.56
shield-xsh,1.07,-27.45
helleniccoin,-0.04,-27.25
ibtc,39.24,-27.21
onix,-15.72,-26.61
briacoin,-0.46,-26.58
dpay,5.09,-26.37
cthulhu-offerings,4.1,-26.19
300-token,11.15,-26.0
cryptogenic-bullion,0.28,-25.94
fundyourselfnow,-9.09,-25.54
prospectors-gold,6.27,-25.54
eusd,-58.89,-25.5
emerald,-20.16,-25.42
starcash-network,4.2,-25.28
topcoin,-18.5,-25.28
happycoin,-22.05,-24.16
namocoin,6.56,-24.13
emphy,4.41,-24.13
eternity,2.62,-23.9
adcoin,10.08,-23.8
lanacoin,-21.62,-23.74
enigma,-20.54,-23.56
chronobank,-9.41,-23.32
oxycoin,6.49,-23.17
postcoin,1.44,-23.16
cryptojacks,-11.64,-23.02
ebitcoin-cash,37.27,-22.99
ultracoin,-18.31,-22.98
cachecoin,14.95,-22.96
bitgem,-16.77,-22.92
mybit-token,42.57,-22.9
swisscoin,4.39,-22.84
incakoin,3.72,-22.73
vault-coin,-12.36,-22.62
mothership,-3.61,-22.6
daxxcoin,2.29,-22.56
plncoin,6.27,-22.41
etheroll,-9.13,-22.32
animecoin,-46.85,-22.07
buzzcoin,-10.44,-21.77
acoin,-19.88,-21.61
fonziecoin,-11.42,-21.42
embercoin,-32.97,-21.21
vulcano,-23.87,-21.16
cyder,6.27,-21.15
attention-token-of-media,-14.05,-20.48
iticoin,-12.04,-20.25
rsgpcoin,3.9,-20.18
peerplays-ppy,6.32,-20.11
xplay,-1.2,-19.92
tittiecoin,11.93,-19.25
platinumbar,-5.11,-19.05
gxshares,-8.29,-19.0
master-swiscoin,-4.96,-18.98
credo,-4.28,-18.92
anarchistsprime,10.9,-18.92
exchange-union,3.52,-18.61
netko,-3.79,-18.52
bitsoar,1.39,-18.49
