,id,market_cap_usd
1,bitcoin,213049346738.0
2,ethereum,43529446198.0
3,bitcoin-cash,25295852764.0
4,iota,14752245796.0
5,ripple,9365343263.0
6,dash,5794075569.0
7,litecoin,5634497528.0
8,bitcoin-gold,4920065049.0
9,monero,4331687542.0
10,cardano,3231420437.0
11,ethereum-classic,2866554689.0
12,nem,2583927000.0
13,eos,2567610124.0
14,neo,2452898500.0
15,stellar,2407074165.0
16,monacoin,1119570733.0
17,bitconnect,1106524562.0
18,lisk,1046840406.0
19,zcash,980259719.0
20,omisego,957831596.0
21,qtum,914799889.0
22,tether,815059290.0
23,waves,706319000.0
24,stratis,695914763.0
25,populous,653575834.0
26,hshare,651059567.0
27,ardor,545431746.0
28,bitshares,477154741.0
29,bytecoin-bcn,418250537.0
30,ark,416343052.0
31,nxt,395859721.0
32,vertcoin,368766943.0
33,augur,362217900.0
34,decred,335508004.0
35,steem,335447755.0
36,qash,333761750.0
37,komodo,316840437.0
38,einsteinium,314678033.0
39,salt,309601337.0
40,veritaseum,293207270.0
41,dogecoin,291381251.0
42,siacoin,286625310.0
43,golem-network-tokens,284913605.0
44,maidsafecoin,283377459.0
45,pivx,272915025.0
46,tenx,264436219.0
47,binance-coin,243443742.0
48,status,242604169.0
49,power-ledger,233054177.0
50,walton,219556117.0
51,factom,214865407.0
52,digixdao,212642000.0
53,syscoin,207670351.0
54,basic-attention-token,196173000.0
55,santiment,195558680.0
56,exchange-union,186157168.0
57,bitcoindark,182367555.0
58,kyber-network,177107472.0
59,byteball,176306281.0
60,cryptonex,174590449.0
61,zcoin,172498713.0
62,bytom,170404563.0
63,vechain,166675353.0
64,gas,165337325.0
65,iconomi,154307660.0
66,pura,149006967.0
67,tron,148853908.0
68,digibyte,142196816.0
69,gnosis-gno,141235087.0
70,raiden-network-token,139995268.0
71,gamecredits,134581199.0
72,aeternity,133369500.0
73,monaco,128197347.0
74,funfair,128046142.0
75,civic,124200306.0
76,blocknet,116844240.0
77,nav-coin,113842716.0
78,metal,113436381.0
79,0x,112709000.0
80,minexcoin,112591500.0
81,streamr-datacoin,112114441.0
82,ethos,110553572.0
83,bancor,109290864.0
84,verge,107929559.0
85,chainlink,105619850.0
86,edgeless,103099366.0
87,gxshares,101888727.0
88,storj,101512007.0
89,yoyow,99842099.0
90,potcoin,98917924.0
91,nexus,98455326.0
92,skycoin,93767400.0
93,metaverse,93117040.0
94,singulardtv,87779400.0
95,substratum,86691149.0
96,ubiq,85364039.0
97,counterparty,82764258.0
98,achain,82251300.0
99,rchain,81869245.0
100,zencash,81389749.0
101,groestlcoin,81008922.0
102,adx-net,80323656.0
103,lykke,76274589.0
104,loopring,75848986.0
105,peercoin,75332238.0
106,particl,73167543.0
107,bitbay,73000832.0
108,quantstamp,71588690.0
109,safe-exchange-coin,71477705.0
110,ripio-credit-network,66561571.0
111,faircoin,66557718.0
112,aragon,66050385.0
113,mobilego,64120107.0
114,quantum-resistant-ledger,63984440.0
115,request-network,62953191.0
116,raiblocks,62022948.0
117,revain,60642918.0
118,feathercoin,59807314.0
119,wings,59136540.0
120,viacoin,58001078.0
121,decentraland,57634931.0
122,mercury,56782700.0
123,cobinhood,56467631.0
124,attention-token-of-media,56219994.0
125,kin,54670390.0
126,iocoin,53000285.0
127,kucoin-shares,52471675.0
128,paypie,52337093.0
129,rlc,52283664.0
130,sonm,52283323.0
131,neblio,51113765.0
132,aeon,51111382.0
133,open-trading-network,50996530.0
134,enigma-project,50700758.0
135,fedoracoin,50670964.0
136,rise,49700467.0
137,emercoin,49371503.0
138,mcap,48382713.0
139,trust,46532737.0
140,global-currency-reserve,46349880.0
141,asch,45750965.0
142,ink,45281204.0
143,melon,45098077.0
144,cofound-it,44642650.0
145,decent,44616955.0
146,jinn,44186159.0
147,namecoin,43735719.0
148,pepe-cash,42907363.0
149,sibcoin,42550501.0
150,bitzeny,42510623.0
151,coindash,41893007.0
152,agoras-tokens,41389530.0
153,whitecoin,40850734.0
154,airswap,40587900.0
155,cloakcoin,40424203.0
156,reddcoin,39431595.0
157,time-new-bank,39261738.0
158,firstblood,38828699.0
159,modum,38736525.0
160,voxels,38046330.0
161,zeusshield,37699805.0
162,tierion,36619344.0
163,library-credit,36067378.0
164,okcash,35574489.0
165,gulden,35504296.0
166,diamond,35484513.0
167,pillar,35161876.0
168,taas,34692514.0
169,supernet-unity,33695068.0
170,ion,32889222.0
171,grid,32746972.0
172,blocktix,32201360.0
173,bitcore,32101488.0
174,triggers,31755434.0
175,eidoo,31658430.0
176,nolimitcoin,30881015.0
177,guppy,30879750.0
178,shift,30492587.0
179,numeraire,30402594.0
180,centra,30158680.0
181,boolberry,30045587.0
182,cindicator,29978710.0
183,blackcoin,29847449.0
184,district0x,29846880.0
185,bitqy,29597478.0
186,xaurum,29083060.0
187,crown,28786067.0
188,leocoin,28747854.0
189,atbcoin,28630110.0
190,elastic,28540590.0
191,aventus,28168020.0
192,paypex,27996861.0
193,amber,27839113.0
194,bitdice,27140400.0
195,moeda-loyalty-points,26810706.0
196,smartcash,26386652.0
197,transfercoin,26042145.0
198,genesis-vision,25731708.0
199,icos,25623734.0
200,synereo,25340706.0
201,viberate,25145538.0
202,tokencard,25082324.0
203,humaniq,25043405.0
204,unikoin-gold,25024950.0
205,clams,24998433.0
206,gridcoin,24840011.0
207,bitdeal,24245839.0
208,salus,24163999.0
209,omni,24137896.0
210,rubycoin,24057422.0
211,dentacoin,23591444.0
212,delphy,22851140.0
213,etherparty,22643263.0
214,stox,21867904.0
215,ixledger,21856473.0
216,oraclechain,21597660.0
217,waves-community-token,21273345.0
218,everex,21168675.0
219,enjin-coin,21084085.0
220,xtrabytes,20817246.0
221,golos,20487840.0
222,lomocoin,20478240.0
223,poet,20237533.0
224,burst,20187570.0
225,wagerr,20120850.0
226,monetaryunit,19870834.0
227,unobtanium,19793405.0
228,solarcoin,19606541.0
229,radium,19569262.0
230,red-pulse,19537128.0
231,digitalnote,19177696.0
232,sphere,19173854.0
233,polybius,18914523.0
234,hive,18843938.0
235,alis,18819308.0
236,soarcoin,18796183.0
237,neoscoin,18363294.0
238,rialto,18267435.0
239,expanse,18237527.0
240,target-coin,18096358.0
241,bitsend,18094702.0
242,monetha,17851243.0
243,etheroll,17800365.0
244,databits,17208535.0
245,obits,17204649.0
246,vericoin,17202736.0
247,suncontract,16871686.0
248,agrello-delta,16352150.0
249,paragon,16347354.0
250,domraider,15967602.0
251,vcash,15845439.0
252,florincoin,15814705.0
253,peerplays-ppy,15651636.0
254,the-champcoin,15538857.0
255,swarm-city,15503315.0
256,investfeed,15470553.0
257,toacoin,15464567.0
258,dubaicoin-dbix,15399032.0
259,energycoin,15392820.0
260,mothership,15348620.0
261,patientory,15332660.0
262,hempcoin,15230182.0
263,masternodecoin,15166371.0
264,adtoken,15096300.0
265,bitcny,15070063.0
266,heat-ledger,14781241.0
267,nexium,14762204.0
268,lunyr,14715474.0
269,gambit,14453862.0
270,nimiq,14369355.0
271,bridgecoin,14096916.0
272,tao,13856227.0
273,blackmoon-crypto,13712345.0
274,bitcloud,13470157.0
275,xenon,13455990.0
276,mysterium,13325124.0
277,chronobank,13320154.0
278,deeponion,13232137.0
279,pascal-coin,12649884.0
280,primas,12509901.0
281,maecenas,12449057.0
282,novacoin,12074359.0
283,ethereum-blue,11782517.0
284,obsidian,11758575.0
285,dimecoin,11544301.0
286,prizm,11363611.0
287,bitbean,11261258.0
288,decision-token,11242090.0
289,casinocoin,11108727.0
290,oax,11040808.0
291,rivetz,10993545.0
292,curecoin,10974239.0
293,steem-dollars,10939175.0
294,incent,10904646.0
295,cvcoin,10890776.0
296,pinkcoin,10807417.0
297,korecoin,10752709.0
298,stealthcoin,10631427.0
299,quantum,10474915.0
300,nushares,10426224.0
301,airtoken,10362177.0
302,ethereum-movie-venture,10340726.0
303,onix,10299211.0
304,asiacoin,10192446.0
305,change,9882363.0
306,earthcoin,9780726.0
307,bitusd,9757852.0
308,sequence,9631524.0
309,bitcrystals,9581020.0
310,nvo,9574605.0
311,foldingcoin,9434082.0
312,decent-bet,9329033.0
313,blockmason,9280706.0
314,internet-of-people,9167381.0
315,riecoin,9108072.0
316,musicoin,9094842.0
317,auroracoin,9008188.0
318,spectrecoin,8971731.0
319,coss,8767290.0
320,bitcoin-plus,8605334.0
321,vibe,8570799.0
322,divi,8557294.0
323,dent,8492117.0
324,kickico,8466830.0
325,pesetacoin,8079587.0
326,posw-coin,8005694.0
327,blockcat,7891963.0
328,qwark,7874722.0
329,dao-casino,7732361.0
330,mooncoin,7684820.0
331,myriad,7662436.0
332,voisecom,7437205.0
333,apx,7436188.0
334,pluton,7415727.0
335,e-dinar-coin,7376713.0
336,artbyte,7340726.0
337,memetic,7339652.0
338,synergy,7102452.0
339,latoken,7081083.0
340,bitswift,7026242.0
341,circuits-of-value,7006860.0
342,dynamic,6969497.0
343,sexcoin,6966249.0
344,exclusivecoin,6912357.0
345,trezarcoin,6808527.0
